RetailerGroupID,RetailerGroupName,RetailerGroupEnabled,RetailerGroupGUID,RetailerGroupLastModified,RetailerGroupLogoImage,RetailerGroupDisplayName,RetailerGroupHideInSelector,RetailerGroupSelectorPriceUrl
44, McKenzie & Willis BR_NZ,True,ac8a2185-f4aa-438d-8d7f-5bebf068172c,6/7/2017 4:58:32 PM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/McKensieWillis.png?ext=.png, McKenzie & Willis,False,
6,Amart,True,719bd9ec-a017-4592-ae16-6037178b605f,4/18/2017 11:19:48 AM,~/getmedia/4f68b7da-994a-4798-b3bc-398db885d665/560x350_1.jpg.aspx?width=560&height=350&ext=.jpg,Amart,False,http://www.superamart.com.au/bedroom/brands/sleepmaker/
5,BacktoBed,True,189ff332-8486-44ec-b72b-5cd554ff4489,7/28/2015 11:42:07 PM,~/Sleepyhead/media/Retailer-Groups-Beds/back2bed.gif?width=560&height=350&ext=.gif,Back to Bed,False,
25,Bedpost,True,226c2e8d-19e4-4f98-a940-77758f313b6e,7/13/2016 10:36:18 PM,~/getmedia/573420c6-1c33-4350-9294-881a693c7d60/Untitled-1.jpg.aspx?width=560&height=350&ext=.jpg,Bedpost,False,
43,Bedpost BR_NZ,True,d2f45c9b-e409-4286-8db0-b85b209cd2af,5/18/2017 3:49:12 PM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/Untitled-1.gif?ext=.gif,Bedpost,False,
8,Bedshed,True,63880d23-42d0-4892-8411-9f80a45292d5,12/18/2015 10:55:37 PM,~/Sleepmaker/media/Retailers/bedshed.gif?width=560&height=350&ext=.gif,Bedshed,False,http://www.bedshed.com.au/mattresses-and-ensembles/by-brand/sleepmaker
48,Bedshed BR_AU,True,bf3ec97d-d93b-475a-be34-7a4d60211d5e,6/9/2017 9:50:13 AM,https://www.sleepmaker.com.au/Sleepmaker/media/Retailers/bedshed.gif?ext=.gif,Bedshed,False,
3,BedsRUs,True,10ee35be-434f-4afc-a216-d2be0205f234,3/3/2016 9:00:32 PM,~/Sleepyhead/media/Retailer-Groups/bedsrus.gif?width=560&height=350&ext=.gif,Beds R Us,False,
7,BedsRUsAU,True,1fe6497c-513a-456e-b4f9-d84811a75e4a,12/18/2015 10:56:03 PM,~/Sleepmaker/media/Retailers/bedsrusAU.gif?width=560&height=350&ext=.gif,Beds R Us,False,http://bedsrus.com.au/our-range/mattresses?brand=81
27,Begents,True,be931005-8e15-4d70-9c2c-d3340d3c98f6,8/17/2015 11:47:25 PM,~/getmedia/ee6d926e-51d0-4740-a45e-e74a24aab3e3/Begents_560x350.png.aspx?width=560&height=350&ext=.png,Begents,False,
