StockistID,StockistName,StockistRetailerGroupID,StockistSiteId,StockistWebsiteUrl,StockistPhone,StockistFax,StockistEmail,StockistAddressLine1,StockistSuburb,StockistPostcode,StockistStateId,StockistCountryId,StockistLatitude,StockistLongitude,StockistGUID,StockistLastModified,StockistLoyalty,ShowInSelector,ShowLeadGeneration
1438, Moe Betta Home Living,13,5,www.betta.com.au,03 5126 1110,,moe@my.betta.com.au,2/17 Moore St,Moe,3825,125,284,-38.1742793,146.2594010,5b60772b-0c0f-419e-b575-ab6f9ace1975,4/12/2017 9:36:41 AM,False,True,False
994,100% Dimocks,22,5,,06 765 8109,,dimocksstratford@xtra.co.nz,237 Broadway,Stratford,4332,138,423,-39.3390790,174.2843570,ce6aaac3-aa52-41a6-aed8-cc6fb342b964,5/20/2015 3:21:01 AM,True,True,False
971,A.D. Home Furnishings,18,5,www.cohuna.homemakersfurniture.com.au,03 5456 2781,,adhome5@bigpond.net.au,5 King George Street  ,Cohuna,3568 ,125,284,-35.8106480,144.2235100,41447736-5930-49cd-b7a6-86c62be7ab59,5/12/2015 10:54:17 PM,True,True,False
1446,Ables Betta Electrical,13,5,www.betta.com.au,02 9879 6020,,able@my.betta.com.au ,1 Massey Street,Gladesville,2111,121,284,-33.8311159,151.1273465,53876296-93fa-499d-9765-94ecd9483862,3/22/2017 10:35:37 AM,True,True,False
682,Affordable Furniture,13,5,""" """,(03) 62298600,,,Shop 5 / 84 Browns Rd,Kingston,7050,124,284,-42.9670067,147.3142548,39c41ab4-95d3-40c6-955e-bb368d8ae744,12/19/2014 5:58:50 AM,True,True,False
683,Affordable Furniture Glenorchy,13,5,""" """,""" """,,,16 Hull Street,Glenorchy,7010,124,284,-42.8343849,147.2666168,46c3f997-433e-4ce1-a97d-bc53d423b851,9/11/2015 3:21:36 AM,True,True,False
622,Alpine Furnishings,7,5,www.bedsrus.com.au,03 5755 1453,03 5750 1633,,10 Ireland Street,Bright,3741,125,284,-36.7295075,146.9615936,b29e16a3-f164-4228-84ec-7e5016e0bca2,11/12/2014 2:26:12 AM,True,True,False
995,Ashley Milliken Furniture Court,22,5,,03 684 5004,,ashley@vodafone.co.nz,28 Barnard Street,Timaru,7910,147,423,-44.3980120,171.2536410,62932c1c-43da-4367-81e9-db9f3ac7397c,5/20/2015 3:21:01 AM,True,True,False
970,At Home Plus ,18,5,www.athomeplus.com.au,03 9553 0605,,info@athomeplus.com.au,329 Bay Road,Cheltenham,3192,125,284,-37.9559410,145.0396462,f5b1ed12-7e43-41bd-8aaf-b037f691017f,5/12/2015 10:51:06 PM,True,True,False
684,Bacash Bros.,13,5,""" """,""" """,,,Hasen Street,Corryong,3707,125,284,-36.1968155,147.9051361,4160e38e-2d51-4ccb-9eec-f624465eb420,11/12/2014 2:35:42 AM,True,True,False
1390,Ball & Croft,13,5,www.betta.com.au,03 5232 1818,,ballandcroft@my.betta.com.au,45 Corangamite Street,Colac,3250,125,284,-38.3392218,143.5841097,c1585c36-7466-4268-8784-3bfa1192bacb,7/5/2016 1:06:37 AM,True,True,False
1497,Ballarine Furniture & Bedding,13,5,www.bellarinefurniture.com.au,(03) 5255 2288,,,9 Marine Parade,Ocean Grove,3226,125,284,-38.2513501,144.5385459,589641a6-4854-4475-bcc2-6149cc916144,4/13/2017 12:49:59 PM,True,True,False
1451,Balonne Electrical,13,5,www.betta.com.au,07 4625 5249,,balonne@my.betta.com.au,St George,Charleville,4487,122,284,-28.0353706,148.5817220,48a78f2f-38fd-4eeb-ae9b-f2b878e49936,3/22/2017 10:51:47 AM,True,True,False
1476,Barkers Furniture - Morley,18,5,'',1300 227 537,,barkersfurniture@gmail.com,136 Russell Street,Morley,6062,126,284,-31.9003979,115.8997955,38ca1192-7c6d-426d-923d-c30f75008a1c,3/22/2017 1:56:35 PM,True,True,False
1457,Barletta Betta Electrical,13,5,www.betta.com.au/,07 4091 1208,,barletta@my.betta.com.au,32 Main Street,Atherton,4883,122,284,-17.2651679,145.4767414,fff85c10-c8d8-4666-9119-344db803af63,3/22/2017 11:09:31 AM,True,True,False
996,Barwicks Auction Mart,22,5,,06 867 3431,,,127 Grey Street,Gisborne ,4010,135,423,-38.6654290,178.0227880,53e5ca00-acdf-4b7a-bf8b-c709dab3bda5,5/20/2015 3:21:01 AM,True,True,False
1471,Batch's Home Furnishers,18,5,"""",(03) 5339 9023,,sales@batchs.com.au,321 Gillies Street,Wendouree,3355,125,284,-37.5357580,143.8226059,88c5c0fa-0dc2-4fc8-9aa2-91b1b83fc322,3/22/2017 1:34:22 PM,True,True,False
